subject,age,sex,yrs_edu,age_group,confidence,valence,dprime
B1,84,M,18,Older Adults,Low Confidence,Reward,0.47585963017992616
B1,84,M,18,Older Adults,High Confidence,Neutral,0.383771163976538
B1,84,M,18,Older Adults,Low Confidence,Neutral,0.263202821357132
B1,84,M,18,Older Adults,High Confidence,Reward,0
B1,84,M,18,Older Adults,High Confidence,Loss,-0.8344465149153262
B1,84,M,18,Older Adults,Low Confidence,Loss,0.6615729692613385
B2,83,F,20,Older Adults,High Confidence,Loss,1.1632661613107511
B2,83,F,20,Older Adults,Low Confidence,Loss,0.7123824870456432
B2,83,F,20,Older Adults,Low Confidence,Neutral,1.1882421172255695
B2,83,F,20,Older Adults,Low Confidence,Reward,0.9755853084027752
B2,83,F,20,Older Adults,High Confidence,Neutral,1.3489795003921634
B2,83,F,20,Older Adults,High Confidence,Reward,1.3489795003921634
B3,84,F,18,Older Adults,High Confidence,Loss,1.5440925034572761
B3,84,F,18,Older Adults,High Confidence,Reward,1.5440925034572761
B3,84,F,18,Older Adults,Low Confidence,Reward,-1.2182176788918642
B3,84,F,18,Older Adults,Low Confidence,Loss,0
B3,84,F,18,Older Adults,High Confidence,Neutral,1.3739554563069816
B3,84,F,18,Older Adults,Low Confidence,Neutral,-0.383771163976538
B4,78,F,17,Older Adults,High Confidence,Reward,0.64697398533367
B4,78,F,17,Older Adults,High Confidence,Loss,0.64697398533367
B4,78,F,17,Older Adults,Low Confidence,Loss,-0.21265680882279417
B4,78,F,17,Older Adults,High Confidence,Neutral,0.64697398533367
B4,78,F,17,Older Adults,Low Confidence,Reward,0.1857133390814123
B4,78,F,17,Older Adults,Low Confidence,Neutral,-0.47585963017992616
B5,83,M,17,Older Adults,High Confidence,Reward,0.6615729692613385
B5,83,M,17,Older Adults,Low Confidence,Loss,0.47585963017992616
B5,83,M,17,Older Adults,Low Confidence,Neutral,0
B5,83,M,17,Older Adults,High Confidence,Loss,-0.383771163976538
B5,83,M,17,Older Adults,High Confidence,Neutral,0.263202821357132
B5,83,M,17,Older Adults,Low Confidence,Reward,0.263202821357132
B6,81,M,18,Older Adults,High Confidence,Loss,0.7123824870456432
B6,81,M,18,Older Adults,High Confidence,Reward,0.7123824870456432
B6,81,M,18,Older Adults,High Confidence,Neutral,1.1882421172255695
B6,81,M,18,Older Adults,Low Confidence,Neutral,0
B6,81,M,18,Older Adults,Low Confidence,Loss,0.15731068461017067
B6,81,M,18,Older Adults,Low Confidence,Reward,-0.16132867935420447
B7,79,F,18,Older Adults,Low Confidence,Neutral,0
B7,79,F,18,Older Adults,High Confidence,Reward,1.7054211828114805
B7,79,F,18,Older Adults,High Confidence,Neutral,2.1813712313860263
B7,79,F,18,Older Adults,High Confidence,Loss,1.7054211828114805
B7,79,F,18,Older Adults,Low Confidence,Reward,0
B7,79,F,18,Older Adults,Low Confidence,Loss,-0.21265680882279417
B8,83,F,14,Older Adults,Low Confidence,Neutral,-0.5685071950545006
B8,83,F,14,Older Adults,High Confidence,Reward,1.3076600649861785
B8,83,F,14,Older Adults,High Confidence,Neutral,1.150349380376008
B8,83,F,14,Older Adults,High Confidence,Loss,0.8317100164116327
B8,83,F,14,Older Adults,Low Confidence,Loss,-0.8317100164116327
B8,83,F,14,Older Adults,Low Confidence,Reward,-0.35585038623170656
B9,77,F,16,Older Adults,High Confidence,Loss,0
B9,77,F,16,Older Adults,Low Confidence,Loss,0.15731068461017067
B9,77,F,16,Older Adults,High Confidence,Neutral,-0.8344465149153262
B9,77,F,16,Older Adults,Low Confidence,Neutral,-0.16132867935420447
B9,77,F,16,Older Adults,High Confidence,Reward,0.383771163976538
B9,77,F,16,Older Adults,Low Confidence,Reward,-0.33146572650449874
B10,85,M,16,Older Adults,High Confidence,Reward,0.32861132306910523
B10,85,M,16,Older Adults,High Confidence,Loss,0.9755853084027752
B10,85,M,16,Older Adults,Low Confidence,Loss,0.383771163976538
B10,85,M,16,Older Adults,High Confidence,Neutral,0.7123824870456432
B10,85,M,16,Older Adults,Low Confidence,Neutral,0.64697398533367
B10,85,M,16,Older Adults,Low Confidence,Reward,0.64697398533367
B11,29,M,20,Younger Adults,High Confidence,Loss,1.0444572436290465
B11,29,M,20,Younger Adults,Low Confidence,Loss,-0.5058351918462209
B11,29,M,20,Younger Adults,High Confidence,Reward,0.31462136922034134
B11,29,M,20,Younger Adults,Low Confidence,Reward,-0.5058351918462209
B11,29,M,20,Younger Adults,High Confidence,Neutral,0.15731068461017067
B11,29,M,20,Younger Adults,Low Confidence,Neutral,0.7123824870456432
B12,85,M,16,Older Adults,High Confidence,Loss,0.7123824870456432
B12,85,M,16,Older Adults,High Confidence,Reward,0.9755853084027752
B12,85,M,16,Older Adults,High Confidence,Neutral,0.32861132306910523
B12,85,M,16,Older Adults,Low Confidence,Loss,0
B12,85,M,16,Older Adults,Low Confidence,Reward,0
B12,85,M,16,Older Adults,Low Confidence,Neutral,0.383771163976538
B13,77,M,18,Older Adults,High Confidence,Reward,0.64697398533367
B13,77,M,18,Older Adults,High Confidence,Neutral,0
B13,77,M,18,Older Adults,Low Confidence,Neutral,0.8596307941564642
B13,77,M,18,Older Adults,Low Confidence,Loss,1.0453441332378763
B13,77,M,18,Older Adults,Low Confidence,Reward,1.0453441332378763
B13,77,M,18,Older Adults,High Confidence,Loss,0.64697398533367
B15,78,F,17,Older Adults,High Confidence,Neutral,1.7054211828114805
B15,78,F,17,Older Adults,High Confidence,Reward,0.7123824870456432
B15,78,F,17,Older Adults,Low Confidence,Neutral,-0.8344465149153262
B15,78,F,17,Older Adults,Low Confidence,Loss,-0.8344465149153262
B15,78,F,17,Older Adults,Low Confidence,Reward,0.383771163976538
B15,78,F,17,Older Adults,High Confidence,Loss,0.32861132306910523
B16,81,F,13,Older Adults,High Confidence,Reward,-0.5058351918462209
B16,81,F,13,Older Adults,High Confidence,Neutral,0.32861132306910523
B16,81,F,13,Older Adults,High Confidence,Loss,-0.5058351918462209
B16,81,F,13,Older Adults,Low Confidence,Loss,-0.35585038623170656
B16,81,F,13,Older Adults,Low Confidence,Neutral,0.31863936396437514
B16,81,F,13,Older Adults,Low Confidence,Reward,0.16132867935420447
B17,75,M,17,Older Adults,High Confidence,Loss,0.3983701479042064
B17,75,M,17,Older Adults,High Confidence,Neutral,0.3983701479042064
B17,75,M,17,Older Adults,Low Confidence,Loss,-0.16132867935420447
B17,75,M,17,Older Adults,High Confidence,Reward,0.3983701479042064
B17,75,M,17,Older Adults,Low Confidence,Reward,-0.16132867935420447
B17,75,M,17,Older Adults,Low Confidence,Neutral,-0.16132867935420447
B18,78,F,16,Older Adults,High Confidence,Loss,1.534120544352546
B18,78,F,16,Older Adults,Low Confidence,Loss,0.6615729692613385
B18,78,F,16,Older Adults,High Confidence,Neutral,1.2154811803881709
B18,78,F,16,Older Adults,High Confidence,Reward,1.2154811803881709
B18,78,F,16,Older Adults,Low Confidence,Reward,0.263202821357132
B18,78,F,16,Older Adults,Low Confidence,Neutral,0
B19,83,F,15,Older Adults,High Confidence,Loss,-0.5058351918462209
B19,83,F,15,Older Adults,High Confidence,Reward,-0.5058351918462209
B19,83,F,15,Older Adults,Low Confidence,Loss,0.35585038623170656
B19,83,F,15,Older Adults,High Confidence,Neutral,0.32861132306910523
B19,83,F,15,Older Adults,Low Confidence,Neutral,0.517179065585911
B19,83,F,15,Older Adults,Low Confidence,Reward,0.6744897501960817
B20,76,M,18,Older Adults,High Confidence,Loss,0.9930386957658373
B20,76,M,18,Older Adults,Low Confidence,Loss,-1.2182176788918642
B20,76,M,18,Older Adults,High Confidence,Neutral,1.3076600649861785
B20,76,M,18,Older Adults,High Confidence,Reward,1.3076600649861785
B20,76,M,18,Older Adults,Low Confidence,Reward,-0.383771163976538
B20,76,M,18,Older Adults,Low Confidence,Neutral,-1.2182176788918642
B21,77,M,13,Older Adults,High Confidence,Neutral,1.534120544352546
B21,77,M,13,Older Adults,Low Confidence,Neutral,0.7123824870456432
B21,77,M,13,Older Adults,High Confidence,Loss,0.8596307941564642
B21,77,M,13,Older Adults,Low Confidence,Reward,0.32861132306910523
B21,77,M,13,Older Adults,Low Confidence,Loss,0.7123824870456432
B21,77,M,13,Older Adults,High Confidence,Reward,1.852759908316921
B22,76,F,16,Older Adults,High Confidence,Loss,1.205785922983251
B22,76,F,16,Older Adults,Low Confidence,Reward,0.263202821357132
B22,76,F,16,Older Adults,High Confidence,Neutral,1.5616363092149577
B22,76,F,16,Older Adults,Low Confidence,Neutral,-0.383771163976538
B22,76,F,16,Older Adults,High Confidence,Reward,1.3759229701335451
B22,76,F,16,Older Adults,Low Confidence,Loss,-1.2182176788918642
B23,78,F,20,Older Adults,High Confidence,Loss,2.0200425520318217
B23,78,F,20,Older Adults,Low Confidence,Loss,0
B23,78,F,20,Older Adults,High Confidence,Neutral,2.5372216176177327
B23,78,F,20,Older Adults,Low Confidence,Neutral,-0.383771163976538
B23,78,F,20,Older Adults,Low Confidence,Reward,0.263202821357132
B23,78,F,20,Older Adults,High Confidence,Reward,2.0200425520318217
B24,76,M,14,Older Adults,High Confidence,Loss,1.5440925034572761
B24,76,M,14,Older Adults,Low Confidence,Loss,1.1882421172255695
B24,76,M,14,Older Adults,High Confidence,Reward,1.3739554563069816
B24,76,M,14,Older Adults,Low Confidence,Reward,1.5440925034572761
B24,76,M,14,Older Adults,High Confidence,Neutral,1.7054211828114805
B24,76,M,14,Older Adults,Low Confidence,Neutral,1.5440925034572761
B25,78,M,17,Older Adults,High Confidence,Loss,0.7123824870456432
B25,78,M,17,Older Adults,High Confidence,Reward,0.7123824870456432
B25,78,M,17,Older Adults,Low Confidence,Loss,0.16132867935420447
B25,78,M,17,Older Adults,High Confidence,Neutral,-0.5058351918462209
B25,78,M,17,Older Adults,Low Confidence,Reward,0
B25,78,M,17,Older Adults,Low Confidence,Neutral,-1.2154811803881709
